sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
/drupal7/,300,6069,2,76197,20480.36442812047,0.0,0.5431545328961543,0.8774580147203932,1654.2566666666667
/drupal7/themes/bartik/css/layout.css,300,26,4,1321,107.93921561076246,0.0,0.5433020813902738,0.519850956392764,979.8
/drupal7/modules/system/system.messages.css,300,17,4,102,15.25256808977863,0.0,0.5434398656616652,0.4388117704319804,826.85
/drupal7/modules/node/node.css,300,21,4,1352,78.52914101713381,0.0,0.5434034444532999,0.2934060199592085,552.9
/drupal7/modules/user/user.css,300,15,3,118,13.783392180446727,0.0,0.5433689964518005,0.6064613535593386,1142.9
/drupal7/modules/field/theme/field.css,300,14,4,96,11.205585908624125,0.0,0.5433985230428144,0.3607798266920977,679.8666666666667
/drupal7/modules/system/system.theme.css,300,16,3,289,20.82199691565522,0.0,0.5433709647913727,0.8839948695592718,1665.9166666666667
/drupal7/misc/jquery.once.js,300,16,3,118,14.373132342441343,0.0,0.5434841683061773,0.8098657152523396,1525.9
/drupal7/themes/bartik/css/colors.css,300,17,3,129,15.595990937844679,0.0,0.5434034444532999,0.47648628200646287,897.9
/drupal7/themes/bartik/css/style.css,300,19,5,120,14.1912727484966,0.0,0.5434506945299876,3.8215888024475206,7200.85
/drupal7/themes/bartik/css/print.css,300,16,3,115,13.189758232136866,0.0,0.5433719489665065,0.41599261659403597,783.95
/drupal7/modules/system/system.menus.css,300,18,4,281,21.804677377928698,0.0,0.543501891386582,0.5868918128913213,1105.75
/drupal7/misc/drupal.js,300,22,5,1347,78.3491527288798,0.0,0.5434969681927457,2.8856911373534597,5436.916666666667
/drupal7/misc/jquery.js,300,27,9,295,21.52675234833779,0.0,0.5434664463816004,14.614630065786615,27536.9
/drupal7/modules/system/system.base.css,300,17,4,197,18.02474965152082,0.0,0.5435206003366204,1.2366597539527535,2329.883333333333
/drupal7/misc/jquery.cookie.js,50,13,4,40,8.32720841578977,0.0,0.12523167860542003,0.12399648333792516,1013.9
TOTAL,4550,417,2,76197,5469.177797115752,0.0,8.235666772252138,28.89493196807548,3592.7158241758243
