sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
/drupal7/,1500,5329,2,80060,19319.010721431594,0.0,2.4646689703105977,3.9783239167574487,1652.8806666666667
/drupal7/themes/bartik/css/layout.css,1500,53,3,5287,232.67087793323475,0.0,2.46427216078883,2.357904163223531,979.8
/drupal7/modules/system/system.messages.css,1500,57,3,5432,228.37732671660342,0.0,2.4650334998052625,1.9904423333144348,826.85
/drupal7/modules/node/node.css,1500,56,3,9447,290.1535898443367,0.0,2.464693268922683,1.3307899495970226,552.9
/drupal7/modules/user/user.css,1500,54,3,5450,246.22571289503188,0.0,2.464458402406626,2.750614754014192,1142.9
/drupal7/modules/field/theme/field.css,1500,51,3,5250,185.86414134582878,0.0,2.4646892191207304,1.635751333807649,679.6026666666667
/drupal7/modules/system/system.theme.css,1500,73,3,9674,358.61378178883325,0.0,2.4645717806531118,4.009542192955433,1665.9166666666667
/drupal7/misc/jquery.once.js,1500,46,3,2339,130.63093422310047,0.0,2.465341408696081,3.6736957573528812,1525.9
/drupal7/themes/bartik/css/colors.css,1500,80,3,9870,475.16916882586844,0.0,2.464721617908996,2.161204629609851,897.9
/drupal7/themes/bartik/css/style.css,1500,72,5,9435,375.43253897634156,0.0,2.46508616297835,17.334683297541652,7200.85
/drupal7/themes/bartik/css/print.css,1500,57,3,9655,297.422621196767,0.0,2.4645717806531118,1.8868174291435613,783.95
/drupal7/modules/system/system.menus.css,1500,52,3,3245,167.30852619702983,0.0,2.465321149168365,2.662137559270429,1105.75
/drupal7/misc/drupal.js,1500,72,4,16721,487.4795638241897,0.0,2.4652158049915687,13.089036032313226,5436.916666666667
/drupal7/misc/jquery.js,1500,62,8,1392,134.6138286094296,0.0,2.464936281397126,66.28584363984817,27536.9
/drupal7/modules/system/system.base.css,1500,61,3,9916,380.1786580344679,0.0,2.4653657205688746,5.609389163012447,2329.883333333333
/drupal7/misc/jquery.cookie.js,250,65,4,1833,193.03228036781826,0.0,0.4138661722345462,0.409784093777936,1013.9
TOTAL,22750,408,2,80060,5138.539738389424,0.0,37.3674277576751,131.1001058632574,3592.607692307692
