sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
/drupal7/,1500,9047,18,232939,22491.158893404572,0.08,0.26516360152274615,0.8333726014847394,3218.2906666666668
/drupal7/themes/bartik/css/layout.css,1500,3165,0,184078,14613.226978999523,0.07333333333333333,0.265612809478765,0.25319679403568207,976.1333333333333
/drupal7/modules/system/system.messages.css,1500,4019,0,184304,17551.558385906934,0.074,0.2656156785497809,0.2167769790714324,835.7173333333334
/drupal7/modules/node/node.css,1500,3523,0,176264,15718.075468724097,0.074,0.2656150200689855,0.1510289425082487,582.2473333333334
/drupal7/modules/user/user.css,1500,4243,0,239380,19658.94254474511,0.07133333333333333,0.26561384421854284,0.29179531092181105,1124.9353333333333
/drupal7/modules/field/theme/field.css,1500,4252,0,205834,19867.322037024842,0.07,0.2656146437957112,0.1796227674978516,692.4833333333333
/drupal7/modules/system/system.theme.css,1500,4040,1,175103,18693.040092235147,0.07133333333333333,0.2656138912523606,0.41780200465444073,1610.7186666666666
/drupal7/misc/jquery.once.js,1500,3146,0,177190,13725.550031931933,0.07266666666666667,0.26561676034674675,0.3844237132837952,1482.022
/drupal7/themes/bartik/css/colors.css,1500,3250,0,224347,14822.76239775563,0.072,0.26561497303476794,0.2330439369663795,898.432
/drupal7/themes/bartik/css/style.css,1500,3807,2,174112,17393.29329351593,0.07066666666666667,0.2656161488952051,1.7519031286394946,6753.914666666667
/drupal7/themes/bartik/css/print.css,1500,5514,0,229270,24063.482597801303,0.074,0.26561407938779846,0.2064779405957653,796.0173333333333
/drupal7/modules/system/system.menus.css,1500,3655,0,187358,16443.78132576454,0.07466666666666667,0.2656170425561001,0.2839581068579133,1094.708
/drupal7/misc/drupal.js,1500,4750,1,184539,20147.776643859033,0.07666666666666666,0.265616948486249,1.3220628811049844,5096.784666666666
/drupal7/misc/jquery.js,1500,3706,6,212988,17095.979992668843,0.07066666666666667,0.26561605482598694,6.654060883781644,25652.66
/drupal7/modules/system/system.base.css,1500,5319,1,184157,22135.186051665787,0.076,0.2656176540117562,0.5778522438715367,2227.716
/drupal7/misc/jquery.cookie.js,250,2274,1,163297,15894.449072918005,0.04,0.044346708241409995,0.0415613538593255,959.684
TOTAL,22750,4339,0,239380,18564.20274810993,0.07305494505494506,4.021593215581084,13.77659662443375,3507.872175824176
