sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
/drupal7/,150,5272,24,70201,12925.400003858038,0.0,0.430690425464715,1.3873503171317165,3298.5333333333333
/drupal7/themes/bartik/css/layout.css,150,2,1,12,2.037700228743723,0.0,0.43790761900869396,0.37158000991860757,868.9
/drupal7/modules/system/system.messages.css,150,3,1,30,3.382543421746423,0.0,0.4379971267388486,0.30571401014109345,714.7333333333333
/drupal7/modules/node/node.css,150,2,0,13,2.157251337543527,0.0,0.43796515549222903,0.1890007834101719,441.9
/drupal7/modules/user/user.css,150,2,1,19,2.54681500440583,0.0,0.4379370246558545,0.44132989613593565,1031.9333333333334
/drupal7/modules/field/theme/field.css,150,3,1,74,6.207124938326923,0.0,0.437956204379562,0.2428147810218978,567.7333333333333
/drupal7/modules/system/system.theme.css,150,1799,1,77357,10368.950474370853,0.0,0.4379434177104318,0.6650267738533182,1554.9666666666667
/drupal7/misc/jquery.once.js,150,2,1,14,2.3786177125007337,0.0,0.43803549839679007,0.6052646756493146,1414.9333333333334
/drupal7/themes/bartik/css/colors.css,150,2,1,19,2.4005184625178138,0.0,0.437971549368153,0.3365623165994137,786.9
/drupal7/themes/bartik/css/style.css,150,6,2,25,3.8362945084489484,0.0,0.4380073585236232,3.0321601199775157,7088.766666666666
/drupal7/themes/bartik/css/print.css,150,2202,1,70069,11859.293556558174,0.0,0.43795748308754184,0.28780877827380513,672.9333333333333
/drupal7/modules/system/system.menus.css,150,3,1,26,2.6555099949601644,0.0,0.4380457319744181,0.42509828651111176,993.7333333333333
/drupal7/misc/drupal.js,150,4,2,16,2.5489344178826308,0.0,0.43803421923320646,2.2782484845841156,5325.9
/drupal7/misc/jquery.js,150,13,7,35,4.989985526587783,0.0,0.4380073585236232,11.73121153747883,27425.933333333334
/drupal7/modules/system/system.base.css,150,1876,1,59722,10102.596228481732,0.0,0.43806236255793374,0.9492491976157726,2218.9333333333334
/drupal7/misc/jquery.cookie.js,25,3,1,6,1.4966629547095767,0.0,0.07423419999287352,0.06546238534527811,903.0
TOTAL,2275,738,0,77357,6013.302643214393,0.0,6.5306942630362705,22.94148850041624,3597.18021978022
